award number,published_year,investigators
0106681,2001,"Newhall,Christopher|Montgomery,David"
0327349,2003,"McCann,Eugene"
8310390,1983,"Rosenthal,Howard|Poole,Keith"
7522645,1976,"Demko,George"
0441504,2005,"Doyle,Martin"
8019594,1981,"Thorn,Colin"
9411021,1994,"Nyerges,Timothy"
8922053,1990,"La Greca,Anthony|Golant,Stephen"
9900743,1999,"Weil,Connie"
0213648,2002,"Nijman,Jan|Grant,Richard"
9309684,1993,"Lamoreaux,Naomi|Sokoloff,Kenneth"
0620347,2006,"Pedlowski,Marcos|Browder,John"
0136375,2002,"Gomez,Basil"
9305714,1993,"Erickson,Rodney"
9157667,1991,"Murphy,Alexander"
9796254,1997,"Grindlay,Nancy"
9627812,1996,"MacPherson,Alan"
7925115,1980,"Levin,Irwin"
7466220,1974,
0404618,2003,"Bridge,Gavin"
0202018,2002,"Oakes,Timothy"
9631437,1996,"Elmore,David|Harbor,Jonathan"
